University Name,City,State,Zip,URL,Bachelors,Masters,DNP,Post-Grad
Cabarrus College of Health Sciences,Concord,NC,zip,"http://www.cabarruscollege.edu",1,1,0,0
Caldwell University,Caldwell,NJ,zip,"https://www.caldwell.edu/academics/academic-departments/nursing",1,0,0,0
California Baptist University,Riverside,CA,zip,"http://www.calbaptist.edu",1,1,1,1
California Southern University,Chandler,AZ,zip,"http://www.calsouthern.edu/nursing",1,1,0,0
"California State University, Bakersfield",Bakersfield,CA,zip,"http://www.csub.edu/nursing",1,1,0,0
"California State University, Channel Islands",Camarillo,CA,zip,"http://nursing.csuci.edu",1,1,0,1
"California State University, Chico",Chico,CA,zip,"http://www.csuchico.edu/nurs",1,1,0,0
"California State University, Dominguez Hills",Carson,CA,zip,"http://www.csudh.edu",1,1,0,1
"California State University, East Bay",Hayward,CA,zip,"http://www.csueastbay.edu/nursing/",1,1,0,0
"California State University, Fresno",Fresno,CA,zip,"http://www.csufresno.edu/nursing",1,1,1,1
"California State University, Fullerton",Fullerton,CA,zip,"http://nursing.fullerton.edu",1,1,0,0
"California State University, Fullerton",Fullerton,CA,zip,"http://nursing.fullerton.edu",0,0,0,0
"California State University, Long Beach",Long Beach,CA,zip,"http://www.csulb.edu/colleges/chhs/departments/nursing/",1,1,0,1
"California State University, Long Beach",Long Beach,CA,zip,"http://www.csulb.edu/colleges/chhs/departments/nursing/",0,0,0,0
"California State University, Los Angeles",Los Angeles,CA,zip,"http://www.calstatela.edu/academic/hhs/nursing/",1,1,0,1
"California State University, Los Angeles",Los Angeles,CA,zip,"http://www.calstatela.edu/academic/hhs/nursing/",0,0,0,0
"California State University, Monterey Bay",Seaside,CA,zip,"http://	nursing.csumb.edu",1,0,0,0
"California State University, Northridge",Northridge,CA,zip,"http://www.csun.edu",1,0,0,0
"California State University, Sacramento",Sacramento,CA,zip,"http://www.hhs.csus.edu/NRS",1,1,0,0
"California State University, San Bernardino",San Bernardino,CA,zip,"http://www.nursing.csusb.edu",1,1,0,0
"California State University, San Marcos",San Marcos,CA,zip,"http://www.csusm.edu/nursing",1,1,0,1
"California State University, Stanislaus",Turlock,CA,zip,"http://www.csustan.edu/Nursing/",1,1,0,0
Calvin University,Grand Rapids,MI,zip,"http://www.calvin.edu",1,0,0,0
Campbell University,Lillington,NC,zip,"https://cphs.campbell.edu/academic-programs/nursing/",1,0,0,0
Capella University,Minneapolis,MN,zip,"http://www.capella.edu",1,1,1,0
Capital University,Columbus,OH,zip,"http://www.capital.edu",1,1,0,0
Cardinal Stritch University,Milwaukee,WI,zip,"http://www.stritch.edu",1,0,0,0
Carlow University,Pittsburgh,PA,zip,"http://www.carlow.edu",1,1,1,1
Carolinas College of Health Sciences,Charlotte,NC,zip,"https://atriumhealth.org/education/carolinas-college-of-health-sciences/academic-programs/RN-to-BSN-Nursing",1,0,0,0
Carroll College-Montana,Helena,MT,zip,"http://www.carroll.edu",1,0,0,0
Carroll University,Waukesha,WI,zip,"http://www.carrollu.edu",1,1,0,0
Carson-Newman University,Jefferson City,TN,zip,"http://www.cn.edu",1,1,0,0
Carthage College,Kenosha,WI,zip,"http://www.carthage.edu/nursing",1,0,0,0
Case Western Reserve University,Cleveland,OH,zip,"http://fpb.case.edu",1,1,1,1
Castleton University,Castleton,VT,zip,"http://www.castleton.edu/nursing2/index.htm",1,0,0,0
Catawba College,Salisbury,NC,zip,"http://www.catawba.edu/academics/programs/undergraduate/nursing/",1,0,0,0
"Catholic University of America, The",Washington,DC,zip,"http://nursing.cua.edu",1,1,1,1
Cedar Crest College,Allentown,PA,zip,"http://www.cedarcrest.edu",0,1,1,0
Cedarville University,Cedarville,OH,zip,"http://www.cedarville.edu",1,1,0,0
Central Connecticut State University,New Britain,CT,zip,"http://www.ccsu.edu",1,1,0,0
Central Methodist University,Fayette,MO,zip,"http://www.centralmethodist.edu",1,1,0,0
Central Michigan University,Downers Grove,IL,zip,"http://www.chamberlain.edu",1,1,1,1
Chaminade University of Honolulu,Honolulu,HI,zip,"http://chaminade.edu/academic-program/nursing/",1,0,0,0
Charles R. Drew University of Medicine and Science,Los Angeles,CA,zip,"http://www.cdrewu.edu",1,1,0,1
Charter Oak State College,New Britain,CT,zip,"https://www.charteroak.edu/rn-to-bsn",1,0,0,0
Chatham University,Pittsburgh,PA,zip,"http://www.chatham.edu/academics/colleges/ccps/rn-to-bsn/",1,1,1,0
Children's Health,Dallas,TX,zip,"http://www.childrens.com/for-healthcare-professionals/education-training/residency-programs/nurse-residency",0,0,0,0
Children's Hospital Colorado,Aurora,CO,zip,"http://www.childrenscolorado.org/about/careers/nursing/residency-program",0,0,0,0
Children's Hospital of Philadelphia,Cincinnati,OH,zip,"http://www.thechristcollege.edu/academics",1,0,0,0
Christian Brothers University,Memphis,TN,zip,"http://www.cbu.edu/nursing",1,0,0,0
Cincinnati VA Medical Center,Charleston,SC,zip,"http://www.citadel.edu/root/",1,0,0,0
Claflin University,Orangeburg,SC,zip,"http://www.claflin.edu/academics-research/schools-departments/school-of-natural-sciences-and-mathematics/department-of-nursing---rn-to-bsn-in-nursing",1,0,0,0
Clarke University,Dubuque,IA,zip,"http://www.clarke.edu",1,0,1,0
Clayton State University,Morrow,GA,zip,"http://www.clayton.edu/nursing",1,1,0,0
Clement J. Zablocki VA Medical Center,Milwaukee,WI,zip,"http://www.milwaukee.va.gov/",0,0,0,0
Clemson University,Clemson,SC,zip,"https://www.clemson.edu/cbshs/departments/nursing/",1,1,1,0
Cleveland State University,Cleveland,OH,zip,"http://www.csuohio.edu/academic/majors/nursing.html",1,1,1,0
CNI College,Santa Ana,CA,zip,"http://www.cnicollege.edu",1,0,0,0
Coe College,Cedar Rapids,IA,zip,"http://www.coe.edu",1,0,0,0
Colby-Sawyer College,New London,NH,zip,"http://www.colby-sawyer.edu",1,1,0,0
Colegio Universitario de San Juan,San Juan,PR,zip,"http://www.cunisanjuan.edu/",1,0,0,0
College of Mount Saint Vincent,Bronx,NY,zip,"http://www.cmsv.edu/",1,1,0,1
"College of New Jersey, The",Ewing,NJ,zip,"http://www.TCNJ.edu",1,1,0,1
College of Saint Benedict,St. Joseph,MN,zip,"http://www.csbsju.edu/nursing",0,0,0,0
College of Saint Benedict/Saint John's University,St. Joseph,MN,zip,"http://www.csbsju.edu/nursing",1,0,0,0
"College of St. Scholastica, The",Duluth,MN,zip,"http://www.css.edu/academics/school-of-nursing.html",1,0,1,1
College of the Ozarks,Point Lookout,MO,zip,"http://www.cofo.edu/nursing",1,0,0,0
Colorado Christian University,Lakewood,CO,zip,"http://www.ccu.edu/academics/nursing/",1,1,1,0
Colorado Mesa University,Grand Junction,CO,zip,"http://www.coloradomesa.edu/healthsciences/bsn.html",1,1,1,0
Colorado Technical University,Colorado Springs,CO,zip,"http://www.coloradotech.edu/degree-programs/bachelor-degree-in-nursing",1,1,1,1
Columbia Basin College,Pasco,WA,zip,"http://www.columbiabasin.edu/nursing",1,0,0,0
"Columbia College, Missouri",Columbia,MO,zip,"http://www.ccis.edu/departments/nursing.aspx",1,0,0,0
Columbia College-SC,Columbia,SC,zip,"http://www.cconlinecampus.edu",1,0,0,0
Columbia University,New York,NY,zip,"http://www.nursing.columbia.edu",0,1,1,1
Columbus State University,Columbus,GA,zip,"https://nursing.columbusstate.edu/",1,1,0,0
Columbus State University,Columbus,GA,zip,"https://nursing.columbusstate.edu/",0,0,0,0
Commonwealth University,Moorhead,MN,zip,"http://www.cord.edu/dept/splash/nursing/",1,0,0,0
Concordia University Irvine,Irvine,CA,zip,"http://www.cui.edu/nursing",1,0,0,0
Concordia University Saint Paul,Saint Paul,MN,zip,"http://csp.edu/",1,0,0,0
Concordia University Texas,Austin,TX,zip,"http://www.concordia.edu/nursing",1,0,0,0
Concordia University Wisconsin,Mequon,WI,zip,"http://www.cuw.edu",1,1,1,1
Cone Health,Fort Worth,TX,zip,"http://www.cookchildrens.org",0,0,0,0
Coppin State University,Baltimore,MD,zip,"http://www.coppin.edu/nursing",1,1,1,1
Corewell Health East,Springfield,MO,zip,"http://www.coxcollege.edu",1,1,0,1
Creighton University,Omaha,NE,zip,"http://www.creighton.edu",1,1,1,1
Crown College,St. Bonifacius,MN,zip,"https://www.crown.edu/on-campus-degree-programs/nursing/nursing-bsn/",1,0,0,0
Cumberland University,Lebanon,TN,zip,"http://www.cumberland.edu",1,1,0,0
CUNY School of Professional Studies,New York,NY,zip,"http://sps.cuny.edu/programs/bs_nursing",1,1,0,0
Curry College,Milton,MA,zip,"http://www.curry.edu/",1,1,0,0
Dakota Wesleyan University,Mitchell,SD,zip,"http://www.dwu.edu/nursing/",1,0,0,0
Davenport University,Grand Rapids,MI,zip,"http://www.davenport.edu/programs/health-professions",1,1,0,1
Defiance College,Defiance,OH,zip,"http://www.defiance.edu",1,0,0,0
Delta State University,Cleveland,MS,zip,"http://www.deltastate.edu/",1,1,1,1
Denver College of Nursing,Denver,CO,zip,"http://www.denvercollegeofnursing.edu",1,1,0,0
DePaul University,Chicago,IL,zip,"http://www.depaul.edu",1,1,1,0
DeSales University,Center Valley,PA,zip,"http://www.desales.edu/nursing",1,1,1,1
Dominican University New York,Orangeburg,NY,zip,"https://www.duny.edu/nursing-2/",1,1,1,0
Dominican University of California,San Rafael,CA,zip,"http://www.dominican.edu",1,0,0,0
"Dominican University, Illinois",River Forest,IL,zip,"http://www.dom.edu/academics/majors-programs/bachelor-science-nursing",1,0,0,0
Dordt University,Sioux Center,IA,zip,"http://www.dordt.edu",1,0,0,0
Drexel University,Philadelphia,PA,zip,"http://www.drexel.edu",1,1,1,1
Duke University,Durham,NC,zip,"http://nursing.duke.edu",1,1,1,0
Duquesne University,Pittsburgh,PA,zip,"http://www.nursing.duq.edu",1,1,1,1
D'Youville University,Buffalo,NY,zip,"http://www.dyc.edu",1,1,1,1
Eagle Gate College,Murray,UT,zip,"http://www.eaglegatecollege.edu/programs/healthcare/nursing",1,1,0,0
East Carolina University,Greenville,NC,zip,"http://www.nursing.ecu.edu",1,1,1,1
East Tennessee State University,Johnson City,TN,zip,"http://www.etsu.edu/nursing",1,1,1,1
East Tennessee State University and Tennessee Technological University Joint DNP Program,Johnson City,TN,zip,"http://www.etsu.edu",0,0,1,0
East Texas Baptist University,Marshall,TX,zip,"http://www.etbu.edu",1,0,0,0
Eastern Florida State College,Melbourne,FL,zip,"http://www.easternflorida.edu/academics/bachelors-degrees/rn-to-bsn/",1,0,0,0
Eastern Illinois University,Charleston,IL,zip,"http://www.eiu.edu/~nursing",1,0,0,0
Eastern Kentucky University,Richmond,KY,zip,"https://bsn-gn.eku.edu/",1,1,1,1
Eastern Mennonite University,Harrisonburg,VA,zip,"http://www.emu.edu/",1,1,1,0
Eastern Michigan University,Ypsilanti,MI,zip,"http://www.emich.edu",1,1,1,1
Eastern University,St. Davids,PA,zip,"http://www.eastern.edu",1,1,0,0
ECPI University-Orlando,Lake Mary,FL,zip,"http://www.remingtonnursing.com",1,0,0,0
ECPI University-Virginia,Virginia Beach,VA,zip,"http://www.ecpi.edu/college-of-nursing",1,1,0,0
Edgewood College,Madison,WI,zip,"http://www.edgewood.edu",1,1,1,0
Elizabethtown College,Elmhurst,IL,zip,"http://www.elmhurst.edu",1,1,0,0
Elms College,Chicopee,MA,zip,"http://www.elms.edu",1,1,1,1
Emmanuel College,Boston,MA,zip,"http://www.emmanuel.edu",1,1,0,0
Emory & Henry College,Marion,VA,zip,"http://www.ehc.edu/rn-bsn",1,0,0,0
Emory Healthcare,Atlanta,GA,zip,"http://www.ourehc.org",0,0,0,0
Emory University,Atlanta,GA,zip,"http://www.nursing.emory.edu",1,1,1,1
Endicott College,Beverly,MA,zip,"https://www.endicott.edu/academics/schools/nursing/nursing-program",1,0,0,0
Fairfield University,Fairfield,CT,zip,"http://www.fairfield.edu/son/index.html",1,1,1,0
Fairleigh Dickinson University,Teaneck,NJ,zip,"http://view.fdu.edu/default.aspx?id=166",1,1,1,1
Fairmont State University,Fairmont,WV,zip,"http://www.fairmontstate.edu",1,0,0,0
Farmingdale State College,Farmingdale,NY,zip,"http://www.farmingdale.edu/academics/health-sciences/nursing/index.shtml",1,0,0,0
Fayetteville State University,Fayetteville,NC,zip,"http://www.uncfsu.edu/nursing/",1,1,0,0
Felician University,Lodi,NJ,zip,"http://www.felician.edu",1,1,1,1
Ferris State University,Big Rapids,MI,zip,"http://www.ferris.edu/htmls/colleges/alliedhe/nursing/homepage.htm",1,1,1,0
Finlandia University,Hancock,MI,zip,"http://www.finlandia.edu",1,0,0,0
Fisher College,Brockton,MA,zip,"http://www.fisher.edu/bsn",1,0,0,0
Fitchburg State University,Fitchburg,MA,zip,"http://www.fitchburgstate.edu",1,1,0,0
Florida Atlantic University,Boca Raton,FL,zip,"http://nursing.fau.edu/",1,1,1,0
Florida Gateway College,Lake City,FL,zip,"https://www.fgc.edu/new-students/degree-tracks-2/bachelor-of-science-in-nursing/",1,0,0,0
Florida Gulf Coast University,Fort Myers,FL,zip,"http://www.fgcu.edu/chp/nursing",1,1,1,0
Florida International University,Miami,FL,zip,"http://www.fiu.edu",1,1,1,0
Florida National University,Hialeah,FL,zip,"http://www.fnu.edu",1,1,0,0
Florida Southern College,Lakeland,FL,zip,"http://www.flsouthern.edu",1,1,1,1
Florida State University,Tallahassee,FL,zip,"http://www.fsu.edu",1,0,1,1
Fort Hays State University,Hays,KS,zip,"http://www.fhsu.edu",1,1,1,0
Framingham State University,Framingham,MA,zip,"https://www.framingham.edu/academics/colleges/science-technology-engineering-and-mathematics/nursing/",1,1,0,0
Francis Marion University,Florence,SC,zip,"https://www.fmarion.edu/healthsciences/nursing",1,1,1,0
Franciscan University of Steubenville,Steubenville,OH,zip,"http://www.franciscan.edu",1,1,0,1
Franklin University,Columbus,OH,zip,"http://www.franklin.edu/nursing",1,1,0,0
Freed-Hardeman University,Henderson,TN,zip,"http://www.fhu.edu/nursing",1,0,0,0
Fresno Pacific University,Fresno,CA,zip,"http://www.fresno.edu",1,1,0,0
Front Range Community College,Westminster,CO,zip,"http://www.frontrange.edu/rntobsn",1,0,0,0
Frostburg State University,Frostburg,MD,zip,"http://www.frostburg.edu/nursing/",1,1,0,0
Galen College of Nursing,Louisville,KY,zip,"http://www.galencollege.edu",1,0,0,0
Gannon University,Erie,PA,zip,"http://www.gannon.edu",1,1,1,1
George Fox University,Newberg,OR,zip,"http://www.georgefox.edu/academics/undergrad/departments/nursing/index.html",1,0,0,0
George Mason University,Fairfax,VA,zip,"http://www.gmu.edu",1,1,1,0
George Washington University,Washington,DC,zip,"http://nursing.gwu.edu/",1,1,1,1
Georgetown University,Washington,DC,zip,"http://nursing.georgetown.edu",1,1,1,1
Georgia College & State University,Milledgeville,GA,zip,"http://www.gcsu.edu/nursing",1,1,1,1
Georgia Gwinnett College,Lawrenceville,GA,zip,"http://www.ggc.edu/academics/schools/school-of-health-sciences/nursing/",1,0,0,0
Georgia Intercollegiate Consortium for Graduate Nursing Education,Statesboro,GA,zip,"https://chp.georgiasouthern.edu/nursing/",1,1,1,1
Georgia Southwestern State University,Americus,GA,zip,"http://gsw.edu/Academics/Schools-and-Departments/School-of-Nursing/",1,1,0,0
Georgia Southwestern State University,Americus,GA,zip,"http://gsw.edu/Academics/Schools-and-Departments/School-of-Nursing/",0,0,0,0
Georgia State University,Atlanta,GA,zip,"http://www.gsu.edu",1,1,1,1
Georgian Court University,Lakewood,NJ,zip,"http://www.georgian.edu/nursing/index.htm",1,0,0,0
Glendale Career College,Glendale,CA,zip,"https://www.glendalecareer.com/programs/bachelor-of-science-in-nursing/",1,0,0,0
Gonzaga University,Spokane,WA,zip,"http://www.gonzaga.edu",1,1,1,0
Goodwin University,East Hartford,CT,zip,"http://www.goodwin.edu",1,1,0,0
Goshen College,Goshen,IN,zip,"https://www.goshen.edu/academics/nursing/",1,1,1,0
Goshen College-Eastern Mennonite University DNP Consortium,Goshen,IN,zip,"http://www.goshen.edu/academics/nursing",0,0,1,0
Graceland University,Independence,MO,zip,"http://www.graceland.edu",1,1,1,1
Grambling State University,Grambling,LA,zip,"http://www.gram.edu",1,0,0,0
Grand Canyon University,Phoenix,AZ,zip,"http://www.gcu.edu/scon",1,1,1,1
Grand Valley State University,Grand Rapids,MI,zip,"http://www.gvsu.edu/kcon/",1,1,1,0
Grand View University,Des Moines,IA,zip,"https://www.grandview.edu/",1,0,0,0
Granite State College,Concord,NH,zip,"http://www.granite.edu/academics/degrees/bachelor/nursing.php",1,1,0,0
Grantham University,Lenexa,KS,zip,"https://www.grantham.edu/school-of-nursing/",1,1,0,0
Gulf Coast State College,Panama City,FL,zip,"http://www.gulfcoast.edu/health_sciences/nursing/bsn/default.htm",1,0,0,0
Gustavus Adolphus College,Saint Peter,MN,zip,"https://gustavus.edu/nursing",1,0,0,0
Gwynedd Mercy University,Gwynedd Valley,PA,zip,"http://www.gmercyu.edu/academics/graduate-programs/nursing",1,1,1,1
Hampton University,Hampton,VA,zip,"http://nursing.hamptonu.edu/",1,0,0,0
Hannibal-LaGrange University,Hannibal,MO,zip,"http://www.hlg.edu/academics/departments/nursing/index.php",1,0,0,0
Harding University,Searcy,AR,zip,"https://www.harding.edu/academics/colleges-departments/nursing",1,1,0,1
Hardin-Simmons University,Abilene,TX,zip,"http://www.hsutx.edu",0,0,0,0
Harrisburg University of Science and Technology,Harrisburg,PA,zip,"http://adultdegrees.harrisburgu.edu/bachelor-of-science-in-nursing-rn-bsn/ https://harrisburgu.edu/nsms-program-main/",1,1,0,0
Hartwick College,Oneonta,NY,zip,"http://www.hartwick.edu",1,0,0,0
Hawaii Pacific University,Honolulu,HI,zip,"http://www.hpu.edu",1,1,1,1
Heidelberg University,Tiffin,OH,zip,"https://www.heidelberg.edu/academics/programs/nursing/rn-bsn-pathway",1,0,0,0
Helene Fuld College of Nursing,New York,NY,zip,"http://www.helenefuld.edu",1,0,0,0
Henderson State University,Arkadelphia,AR,zip,"http://www.hsu.edu",1,1,0,0
Heritage University,Toppenish,WA,zip,"http://www.heritage.edu/Nursing",1,0,0,0
"Herzing University, Atlanta",Atlanta,GA,zip,"http://www.herzing.edu/academics/nursing/programs/atlanta",1,0,0,0
"Herzing University, Brookfield",Brookfield,WI,zip,"http://www.herzing.edu/academics/nursing",1,0,0,0
"Herzing University, Kenosha",Kenosha,WI,zip,"http://www.herzing.edu/kenosha/career-programs/undergraduate-degrees/healthcare/bsn-bachelor-in-nursing",1,0,0,0
"Herzing University, Madison",Madison,WI,zip,"http://herzing.edu/madison",1,1,0,1
"Herzing University, Minneapolis",St. Louis Park,MN,zip,"http://www.herzing.edu/academics/nursing/programs/minneapolis",1,0,0,0
"Herzing University, New Orleans",Metairie,LA,zip,"https://www.herzing.edu/nursing/bsn-degree/louisiana/new-orleans",1,0,0,0
"Herzing University, Orlando",Winter Park,FL,zip,"http://www.herzing.edu/academics/nursing/programs/orlando",1,0,0,0
Hesston College,Hesston,KS,zip,"http://www.hesston.edu/academics/departments/nursing-department",1,0,0,0
Hiram College,Hiram,OH,zip,"http://www.hiram.edu",1,0,0,0
Hofstra University,Hempstead,NY,zip,"http://www.hofstra.edu/academics/colleges/nursing-physician-assistant/index.html",0,1,0,0
Holy Family University,Philadelphia,PA,zip,"http://www.holyfamily.edu",1,1,1,0
Holy Names University,Oakland,CA,zip,"http://www.hnu.edu",1,1,0,1
"Homestead Schools, Inc.",Torrance,CA,zip,"http://www.homesteadschools.net",1,0,0,0
