University Name,City,State,Bachelors,Masters,DNP,Post-Grad
New York University,New York,NY,1,1,1,1
New York University Langone Medical Center,New York,NY,0,0,0,0
Newberry College,Newberry,SC,1,0,0,0
Newman University,Wichita,KS,1,0,0,0
Niagara University,Lewiston,NY,1,0,0,0
Nicholls State University,Thibodaux,LA,1,0,0,0
Nicholls State University,Thibodaux,LA,0,0,0,0
Nightingale College,Salt Lake City,UT,1,1,0,0
North Carolina Wesleyan University,Rocky Mount,NC,1,0,0,0
North Dakota State University,Fargo,ND,1,0,1,0
North Park University,Chicago,IL,1,1,1,1
Northcentral University,San Diego,CA,0,1,1,0
Northeastern University,Boston,MA,1,1,1,1
Northern Arizona University,Flagstaff,AZ,1,1,1,1
Northern Illinois University,DeKalb,IL,1,1,1,0
Northern Kentucky University,Highland Heights,KY,1,1,1,1
Northern Michigan University,Marquette,MI,1,0,1,0
Northern New Mexico College,Espanola,NM,1,0,0,0
Northwest Florida State College,Niceville,FL,1,0,0,0
Northwest Nazarene University,Nampa,ID,1,1,0,0
Northwest University,Kirkland,WA,1,1,0,0
Northwestern College,Orange City,IA,1,0,0,0
Northwestern Oklahoma State University,Alva,OK,0,0,1,0
Northwestern State University of Louisiana,Shreveport,LA,1,1,1,1
Norwich University,Northfield,VT,1,1,0,1
Notre Dame College,South Euclid,OH,1,1,0,0
Notre Dame of Maryland University,Baltimore,MD,1,1,0,0
Nova Southeastern University,Fort Lauderdale,FL,1,1,1,1
Nyack College,Nyack,NY,1,0,0,0
NYU Langone Orthopedic Hospital,New York,NY,0,0,0,0
Oak Point University,Chicago,IL,1,1,1,0
Oakland University,Rochester,MI,1,1,1,1
Ohio Northern University,Ada,OH,1,0,0,0
"Ohio State University, The",Columbus,OH,1,1,1,1
Ohio University,Athens,OH,1,1,1,1
Oklahoma Baptist University,Shawnee,OK,1,0,0,0
Oklahoma Christian University,Edmond,OK,1,0,0,0
Oklahoma City VA Health Care System,Oklahoma City,OK,0,0,0,0
Oklahoma State University,Stillwater,OK,1,0,0,0
Oklahoma Wesleyan University,Bartlesville,OK,1,1,0,0
Old Dominion University,Virginia Beach,VA,1,1,1,0
Olivet College,Olivet,MI,1,0,0,0
Olivet Nazarene University,Bourbonnais,IL,1,1,0,1
Olympic College,Bremerton,WA,1,0,0,0
Oral Roberts University,Tulsa,OK,1,1,1,0
Oregon Health & Science University,Portland,OR,1,1,1,0
Ottawa University,Overland Park,KS,1,1,0,0
Otterbein University,Westerville,OH,1,1,1,1
Pace University,Pleasantville,NY,1,1,1,1
Pacific College,Costa Mesa,CA,1,1,0,1
Pacific Lutheran University,Tacoma,WA,1,1,1,1
Palm Beach Atlantic University,West Palm Beach,FL,1,1,1,0
Park University,Parkville,MO,1,0,0,0
Pasco-Hernando State College,New Port Richey,FL,1,0,0,0
Patty Hanks Shelton School of Nursing,Abilene,TX,1,1,0,0
Penn Medicine,Philadelphia,PA,0,0,0,0
Penn State Health Milton S. Hershey Medical Center,Lancaster,PA,1,1,0,1
"Pennsylvania State University, The",University Park,PA,1,1,1,1
Pennsylvania Western University,California,PA,1,1,1,0
Pensacola Christian College,Pensacola,FL,1,1,0,0
Pensacola State College,Pensacola,FL,1,0,0,0
Pfeiffer University,Misenheimer,NC,1,0,0,0
Pikes Peak State College,Colorado Springs,CO,1,0,0,0
Pima Medical Institute,Tucson,AZ,1,0,0,0
Pittsburg State University,Pittsburg,KS,1,1,1,0
Plattsburgh State University of New York,Plattsburgh,NY,1,0,0,0
Plymouth State University,Plymouth,NH,1,0,0,0
Point Loma Nazarene University,San Diego,CA,1,1,1,1
Ponce Health Sciences University,Ponce,PR,1,0,0,0
Post University,Waterbury,CT,1,1,0,0
Prairie View A&M University,Houston,TX,1,1,1,1
Presentation College,Aberdeen,SD,1,1,0,0
Providence Veterans Affairs Medical Center,Providence,RI,0,0,0,0
Provo College,Provo,UT,1,0,0,0
Purdue University,West Lafayette,IN,1,1,1,1
Purdue University Global,West Lafayette,IN,1,1,1,1
Queens University of Charlotte,Charlotte,NC,1,1,0,0
Quinnipiac University,Hamden,CT,1,1,1,0
Radford University,Radford,VA,1,1,1,1
Ralph H. Johnson Veterans Administration Medical Center,Charleston,SC,0,0,0,0
Randolph-Macon College,Ashland,VA,1,0,0,0
Rasmussen University,Bloomington,MN,1,1,0,0
